PrpStatDate,TN,TP,TQ,TR,TT,TM,TW,TV,TH,TC,TX
2016-06-07,26,81,0,0,0,16,0,0,5,81,0
2016-06-08,45,76,0,0,0,6,0,19,0,75,0
2016-06-09,71,98,0,0,0,9,0,9,2,97,0
2016-06-10,71,97,0,0,0,18,0,8,3,96,0
2016-06-13,66,100,0,0,0,9,1,19,0,94,0
2016-06-14,32,112,0,0,0,16,0,1,1,111,0
2016-06-15,40,78,0,0,0,23,0,12,11,76,0
2016-06-17,60,29,0,0,0,6,0,3,1,28,1
2016-06-20,30,48,1,0,0,11,0,32,10,50,0
2016-06-21,58,102,0,4,0,14,0,14,1,102,0
2016-06-22,37,93,0,0,0,24,0,2,6,86,0
2016-06-23,27,93,1,8,0,17,0,19,4,96,0
2016-06-24,56,89,0,0,0,13,0,5,7,87,0
2016-06-27,42,86,0,7,0,13,0,0,8,87,0
2016-06-28,80,95,0,0,0,20,0,0,3,98,0
2016-06-29,43,76,0,0,0,7,0,0,0,72,0
2016-06-30,55,94,0,1,0,15,0,0,23,89,0
2016-07-01,111,59,0,1,0,7,0,0,3,59,0
2016-07-05,30,46,0,0,0,4,0,0,0,47,0
2016-07-06,30,56,0,0,0,9,0,43,1,53,0
2016-07-07,61,80,0,2,0,5,0,21,3,82,1
2016-07-08,97,70,0,3,0,17,0,1,5,66,0
2016-07-11,62,96,0,0,0,16,0,29,1,91,0
2016-07-12,44,120,0,0,0,17,0,24,0,122,0
2016-07-13,30,146,0,4,0,27,0,12,0,145,1
2016-07-14,31,116,0,0,0,17,0,11,0,110,0
2016-07-15,45,70,0,0,0,6,2,30,1,72,0
2016-07-18,35,128,0,0,0,11,1,25,0,123,0
2016-07-19,47,88,0,1,0,7,0,8,4,88,0
2016-07-20,28,88,0,0,0,23,0,18,6,82,1
2016-07-21,70,95,0,0,0,20,0,12,5,92,0
2016-07-22,33,87,0,1,0,18,0,4,13,87,1
2016-07-25,41,110,0,1,0,18,0,31,6,101,3
2016-07-26,83,104,0,0,0,17,0,11,4,100,1
2016-07-27,42,82,0,3,0,18,0,9,0,78,0
2016-07-28,41,52,0,0,0,4,1,25,1,54,1
2016-07-29,74,37,0,0,0,8,1,0,0,36,0
2016-08-01,18,41,0,0,0,7,0,2,0,37,0
2016-08-02,47,71,0,0,0,6,0,4,4,67,0
2016-08-03,50,71,0,0,0,5,0,10,0,75,0
2016-08-04,31,35,0,0,0,2,3,9,4,34,0
2016-08-05,48,59,0,0,0,12,1,4,3,54,0
2016-08-08,38,71,0,2,0,5,0,0,4,71,0
2016-08-09,33,56,0,0,0,4,0,9,0,52,0
2016-08-10,61,58,0,0,0,1,1,6,0,57,1
2016-08-11,23,62,0,0,0,10,1,0,1,59,0
2016-08-12,70,58,0,1,0,6,1,8,1,57,1
2016-08-15,24,61,0,0,0,12,3,10,2,59,0
2016-08-16,59,62,0,0,0,8,0,2,2,60,1
2016-08-17,43,96,1,0,0,18,0,10,3,98,0
2016-08-18,66,82,0,0,0,9,0,22,18,81,0
2016-08-19,94,128,0,2,0,10,0,5,6,135,0
2016-08-22,44,99,0,0,0,19,0,7,2,93,0
2016-08-23,82,89,0,0,0,14,1,18,13,79,1
2016-08-24,56,68,0,1,0,13,1,13,1,61,0
2016-08-25,32,79,0,0,0,23,1,19,5,77,0
2016-08-26,79,51,0,0,0,10,0,7,5,51,0
2016-08-29,30,68,0,0,0,15,0,14,4,63,1
2016-08-30,80,80,0,3,0,21,0,7,5,80,0
2016-08-31,56,72,0,0,0,14,2,32,3,69,1
2016-09-01,24,72,0,0,0,19,0,17,3,71,0
2016-09-02,52,48,0,0,0,7,0,0,2,50,0
2016-09-06,33,84,0,0,0,21,1,5,2,82,0
2016-09-07,34,107,0,2,0,20,0,16,6,109,0
2016-09-08,46,75,0,0,0,11,0,23,3,68,0
2016-09-09,73,61,0,0,0,9,0,14,3,62,0
2016-09-12,31,85,0,0,0,14,0,6,1,80,0
2016-09-13,64,45,0,0,0,0,1,18,2,48,1
2016-09-14,48,84,0,0,0,6,0,3,3,84,0
2016-09-15,49,106,0,0,0,14,0,6,9,106,0
2016-09-16,53,58,0,1,0,19,1,3,65,27,17
2016-09-19,43,62,0,0,0,7,2,11,1,62,1
2016-09-20,45,70,0,0,0,5,0,4,2,69,0
2016-09-21,83,66,0,1,0,18,0,7,10,62,1
2016-09-22,59,115,0,0,0,16,1,14,3,113,0
2016-09-23,57,60,0,0,0,16,1,13,0,66,1
2016-09-26,12,43,1,0,0,3,0,20,7,49,0
2016-09-27,51,84,0,0,0,11,0,3,0,83,1
2016-09-28,38,108,1,3,0,6,1,9,1,111,0
2016-09-29,40,127,0,0,0,18,0,12,0,111,1
2016-09-30,72,91,0,0,0,9,0,4,2,95,0
2016-10-03,79,100,0,0,0,5,0,6,2,99,5
2016-10-04,117,113,0,1,0,12,6,6,12,105,2
2016-10-05,87,117,0,0,0,10,0,8,2,118,0
2016-10-06,178,92,0,1,0,19,0,7,0,86,0
2016-10-07,85,99,0,0,0,11,3,15,2,103,4
2016-10-10,8,76,0,1,0,9,0,9,6,73,0
2016-10-11,45,103,0,3,0,0,0,8,0,107,0
2016-10-12,61,128,0,1,0,17,0,8,89,131,0
2016-10-13,66,130,0,0,0,10,0,16,99,127,0
2016-10-14,82,126,0,1,0,32,0,3,1,119,0
2016-10-17,35,112,0,0,0,24,1,22,173,113,2
2016-10-18,50,106,0,2,0,25,1,26,2,106,1
2016-10-19,42,69,0,0,0,14,0,0,287,69,0
2016-10-20,47,85,0,0,0,13,0,0,0,80,0
2016-10-21,79,92,0,2,0,10,0,0,0,81,0
2016-10-24,30,133,0,5,0,9,3,32,8,128,0
2016-10-25,50,104,0,0,0,10,1,32,2,108,0
2016-10-26,55,120,0,0,0,21,0,37,4,113,0
2016-10-27,40,79,0,0,0,14,0,0,3,74,0
2016-10-28,69,52,0,5,0,8,0,0,0,52,0
2016-10-31,72,98,2,0,0,14,1,16,1,95,0
2016-11-01,56,106,0,0,0,9,0,9,0,104,0
2016-11-02,65,93,0,0,0,11,1,17,0,90,0
2016-11-03,72,99,0,1,0,30,0,25,0,95,0
2016-11-04,58,123,0,0,0,30,1,5,5,111,0
2016-11-07,51,105,1,3,0,7,3,20,4,103,0
2016-11-08,45,77,0,0,0,7,1,11,0,74,1
2016-11-09,36,74,0,0,0,21,1,25,3,74,3
2016-11-10,7,77,0,0,0,21,0,4,4,65,0
2016-11-14,91,118,0,0,0,20,0,21,1,105,2
2016-11-15,39,122,0,1,0,21,0,17,0,109,0
2016-11-16,46,113,0,0,0,12,0,14,2,104,0
2016-11-17,68,86,0,6,0,10,0,7,1,66,0
2016-11-18,41,119,0,0,0,23,0,0,6,122,0
2016-11-21,57,84,0,0,0,10,0,15,1,81,0
2016-11-22,62,62,0,2,0,6,0,28,2,58,0
2016-11-23,29,45,0,0,0,16,0,7,1,39,0
2016-11-28,32,77,0,1,0,11,0,11,4,74,0
2016-11-29,84,133,0,1,0,8,1,11,2,134,2
2016-11-30,51,125,0,0,0,14,0,7,34,126,1
2016-12-01,44,90,0,0,0,13,0,17,8,91,0
2016-12-02,69,85,0,1,0,18,1,19,0,83,1
2016-12-05,41,97,0,4,0,17,0,19,5,100,1
2016-12-06,39,93,0,0,0,9,0,13,2,88,0
2016-12-07,68,100,0,0,0,8,0,11,0,103,1
2016-12-08,68,78,0,0,0,10,0,3,3,75,0
2016-12-09,67,62,0,3,0,4,0,0,1,61,1
2016-12-12,64,94,0,2,0,8,0,7,13,90,1
2016-12-13,22,86,1,0,0,20,2,11,21,84,4
2016-12-14,52,74,0,1,0,20,0,15,7,67,0
2016-12-15,58,71,0,0,0,9,9,5,1,65,0
2016-12-16,43,61,0,0,0,8,0,8,1,58,1
2016-12-19,29,55,0,0,0,6,0,8,0,54,0
2016-12-20,58,109,0,0,0,18,0,1,5,100,0
2016-12-21,54,63,0,0,0,13,2,16,8,64,3
2016-12-22,53,109,0,2,0,10,3,20,1,115,1
2016-12-23,46,63,0,0,0,10,2,0,1,57,2
2016-12-27,47,18,0,0,0,6,1,13,3,17,0
2016-12-28,57,88,0,0,0,10,0,5,5,80,0
2016-12-29,60,66,0,0,0,13,1,7,1,64,2
2016-12-30,62,60,0,0,0,14,2,8,3,53,1
